Year,Region,Building Type,gap_lag1
2001,Auckland Region,Commercial,1.4178904717843057
2002,Auckland Region,Commercial,1.4917112627215818
2003,Auckland Region,Commercial,1.468366218008442
2004,Auckland Region,Commercial,1.3053836148038735
2005,Auckland Region,Commercial,1.3255925812486566
2006,Auckland Region,Commercial,1.3444982408918555
2007,Auckland Region,Commercial,1.4603266936652588
2008,Auckland Region,Commercial,1.4494513761757188
2009,Auckland Region,Commercial,1.307199076680738
2010,Auckland Region,Commercial,1.1857494409503078
2011,Auckland Region,Commercial,1.1898226824741132
2012,Auckland Region,Commercial,1.2653924482075363
2013,Auckland Region,Commercial,1.162311525796384
2014,Auckland Region,Commercial,1.097473791995232
2015,Auckland Region,Commercial,1.117631403604407
2016,Auckland Region,Commercial,1.05390084395352
2017,Auckland Region,Commercial,0.815945525636411
2018,Auckland Region,Commercial,0.8286564002560821
2019,Auckland Region,Commercial,0.87071815456867
2020,Auckland Region,Commercial,1.0002296218951559
2021,Auckland Region,Commercial,0.718090015454032
2022,Auckland Region,Commercial,0.8448306722533268
2023,Auckland Region,Commercial,0.5585297357668741
2024,Auckland Region,Commercial,0.6558626086731358
2001,Auckland Region,Education,0.19707193984872617
2002,Auckland Region,Education,0.2682515707221489
2003,Auckland Region,Education,0.26919214323241203
2004,Auckland Region,Education,0.22899446292047454
2005,Auckland Region,Education,0.055929533155214095
2006,Auckland Region,Education,-0.011767369991220633
2007,Auckland Region,Education,-0.14488064662086497
2008,Auckland Region,Education,-0.22844593213918962
2009,Auckland Region,Education,0.012842210886533145
2010,Auckland Region,Education,0.1593096766865294
2011,Auckland Region,Education,0.10611847689428888
2012,Auckland Region,Education,0.04322391197172326
2013,Auckland Region,Education,-0.06960064721879355
2014,Auckland Region,Education,-0.24410624583515084
2015,Auckland Region,Education,-0.09508493407196461
2016,Auckland Region,Education,-0.16540830065515522
2017,Auckland Region,Education,-0.12094089990982404
2018,Auckland Region,Education,-0.27553314771013326
2019,Auckland Region,Education,-0.306554034454221
2020,Auckland Region,Education,-0.2622815960138727
2021,Auckland Region,Education,-0.2937774562686757
2022,Auckland Region,Education,-0.2528395532268819
2023,Auckland Region,Education,-0.4347220372434091
2024,Auckland Region,Education,-0.40873279471671875
2001,Auckland Region,Farm,-0.36592794607093637
2002,Auckland Region,Farm,-0.18860098929917601
2003,Auckland Region,Farm,-0.19656519513187298
2004,Auckland Region,Farm,-0.25651335286122645
2005,Auckland Region,Farm,-0.09101650455699684
2006,Auckland Region,Farm,-0.30643433696495226
2007,Auckland Region,Farm,-0.2446864045373518
2008,Auckland Region,Farm,-0.2782365966422047
2009,Auckland Region,Farm,-0.3528825685721175
2010,Auckland Region,Farm,-0.4776672324063611
2011,Auckland Region,Farm,-0.5548420171697552
2012,Auckland Region,Farm,-0.80242105547718
2013,Auckland Region,Farm,-0.5440586268139098
2014,Auckland Region,Farm,-0.5417386491400995
2015,Auckland Region,Farm,-0.3893989588274964
2016,Auckland Region,Farm,-0.6366247863260996
2017,Auckland Region,Farm,-0.6155215414914821
2018,Auckland Region,Farm,-0.757690876606552
2019,Auckland Region,Farm,-0.710523255970803
2020,Auckland Region,Farm,-0.6395758271553404
2021,Auckland Region,Farm,-0.7643677678427672
2022,Auckland Region,Farm,-0.6884144628064162
2023,Auckland Region,Farm,-1.0741650388314934
2024,Auckland Region,Farm,-1.37297791971291
2001,Auckland Region,Healthcare,-1.118429369280065
2002,Auckland Region,Healthcare,-0.9889937002127187
2003,Auckland Region,Healthcare,-1.2138318443460303
2004,Auckland Region,Healthcare,-1.3200343217180661
2005,Auckland Region,Healthcare,-1.433077610700062
2006,Auckland Region,Healthcare,-1.3157015252972117
2007,Auckland Region,Healthcare,-1.3462184033087956
2008,Auckland Region,Healthcare,-1.2343488227030317
2009,Auckland Region,Healthcare,-1.1201377212857846
2010,Auckland Region,Healthcare,-1.0595887778560824
2011,Auckland Region,Healthcare,-1.0042448283093393
2012,Auckland Region,Healthcare,-0.9789789075543851
2013,Auckland Region,Healthcare,-1.1194227717174714
2014,Auckland Region,Healthcare,-1.4039621597439789
2015,Auckland Region,Healthcare,-1.190868366539596
2016,Auckland Region,Healthcare,-1.282369727991461
2017,Auckland Region,Healthcare,-1.3134193248100257
2018,Auckland Region,Healthcare,-1.5067185155609542
2019,Auckland Region,Healthcare,-1.2974134618258848
2020,Auckland Region,Healthcare,-1.609355243980482
2021,Auckland Region,Healthcare,-1.7949265932658616
2022,Auckland Region,Healthcare,-1.6447996518824493
2023,Auckland Region,Healthcare,-1.6272661457457218
2024,Auckland Region,Healthcare,-1.408696002314989
2001,Auckland Region,Industrial,0.4085648739429608
2002,Auckland Region,Industrial,0.44489214348267314
2003,Auckland Region,Industrial,0.3766780582025513
2004,Auckland Region,Industrial,0.2197947660220505
2005,Auckland Region,Industrial,0.45632032809190903
2006,Auckland Region,Industrial,0.3190541951211783
2007,Auckland Region,Industrial,0.25617722649989183
2008,Auckland Region,Industrial,0.3072116673279828
2009,Auckland Region,Industrial,0.19177966969624727
2010,Auckland Region,Industrial,0.018769653907529715
2011,Auckland Region,Industrial,0.14506956347873246
2012,Auckland Region,Industrial,0.060444509723394546
2013,Auckland Region,Industrial,0.15576266083372925
