Building Type,method,rmse,weight
Commercial,huber,0.11725826765235176,0.3337544153366094
Commercial,pooled,0.1149624280537587,0.3404196068190958
Commercial,gam,0.12011155412023267,0.3258259778442949
Education,huber,0.16917306251836764,0.3358433813155748
Education,pooled,0.17748418661869875,0.3201167069687582
Education,gam,0.1651426227037248,0.344039911715667
Farm,huber,0.19696275037657873,0.33467292162604817
Farm,pooled,0.21094880224237791,0.31248387495692664
Farm,gam,0.18681980682493915,0.35284320341702513
Healthcare,huber,0.2272220576458493,0.33972045368668824
Healthcare,pooled,0.23966717094848755,0.322079908663429
Healthcare,gam,0.22824382973616222,0.33819963764988265
Industrial,huber,0.12218856381038178,0.3363347765151828
Industrial,pooled,0.12415079298811088,0.33101893526469267
Industrial,gam,0.1235434296455142,0.33264628822012454
Residential,huber,0.13493120111231763,0.3355981525693865
Residential,pooled,0.14547898068689763,0.3112660098921948
Residential,gam,0.12823015108116295,0.3531358375384188
Sociocultural,huber,0.1729831825012002,0.33457327007516535
Sociocultural,pooled,0.17175929852368577,0.3369572974069322
Sociocultural,gam,0.17619767111932136,0.3284694325179025
Temporary Accommodation,huber,0.30222492274825197,0.34202120212354314
Temporary Accommodation,pooled,0.3288739878711987,0.3143068020881288
Temporary Accommodation,gam,0.30077321590108996,0.3436719957883282
