Year,Region,Building Type,gap_lag1
2001,Auckland Region,Commercial,0.95319973699889
2002,Auckland Region,Commercial,0.8452912189318589
2003,Auckland Region,Commercial,0.6312109285820817
2004,Auckland Region,Commercial,0.5262059036830031
2005,Auckland Region,Commercial,0.8859780903295231
2006,Auckland Region,Commercial,0.9177332992649845
2007,Auckland Region,Commercial,1.0070569548851367
2008,Auckland Region,Commercial,1.0789323619668814
2009,Auckland Region,Commercial,0.9935245955798742
2010,Auckland Region,Commercial,0.9316107297079377
2011,Auckland Region,Commercial,0.3753592628921183
2012,Auckland Region,Commercial,0.7288452673037007
2013,Auckland Region,Commercial,0.6422695116428123
2014,Auckland Region,Commercial,0.5929646841644001
2015,Auckland Region,Commercial,0.8354329550457713
2016,Auckland Region,Commercial,0.9595390220114872
2017,Auckland Region,Commercial,0.9418621108379668
2018,Auckland Region,Commercial,1.1033016417822132
2019,Auckland Region,Commercial,0.9068559980784912
2020,Auckland Region,Commercial,1.091150360648232
2021,Auckland Region,Commercial,0.6157686507300895
2022,Auckland Region,Commercial,0.7464591845993453
2023,Auckland Region,Commercial,1.078376977538916
2024,Auckland Region,Commercial,1.094597550593754
2001,Auckland Region,Education,-0.17871750054918323
2002,Auckland Region,Education,-0.15447559293151514
2003,Auckland Region,Education,0.05531729466675017
2004,Auckland Region,Education,-0.05229736367206428
2005,Auckland Region,Education,0.19947462734996435
2006,Auckland Region,Education,0.07340224336676471
2007,Auckland Region,Education,-0.10778438294700976
2008,Auckland Region,Education,-0.3621261598486676
2009,Auckland Region,Education,0.07253556317791876
2010,Auckland Region,Education,-0.027511924157046508
2011,Auckland Region,Education,0.12919330740527357
2012,Auckland Region,Education,0.2245760992187762
2013,Auckland Region,Education,-0.1860463025271848
2014,Auckland Region,Education,-0.24219213240299098
2015,Auckland Region,Education,0.22375955483284926
2016,Auckland Region,Education,-0.07846756589692205
2017,Auckland Region,Education,0.45682680516321383
2018,Auckland Region,Education,0.28953460986447155
2019,Auckland Region,Education,0.10950407848716992
2020,Auckland Region,Education,0.31753609902031243
2021,Auckland Region,Education,0.21733629826172063
2022,Auckland Region,Education,0.5523661590938254
2023,Auckland Region,Education,0.44559599668414407
2024,Auckland Region,Education,0.050454635385044355
2001,Auckland Region,Farm,-2.1694872760436006
2002,Auckland Region,Farm,-1.8987325480381436
2003,Auckland Region,Farm,-2.0660030600931876
2004,Auckland Region,Farm,-2.529048251012913
2005,Auckland Region,Farm,-2.3245873416484883
2006,Auckland Region,Farm,-2.461684888814837
2007,Auckland Region,Farm,-2.536146763923174
2008,Auckland Region,Farm,-2.33041496394846
2009,Auckland Region,Farm,-2.560086879127798
2010,Auckland Region,Farm,-2.8515951896901406
2011,Auckland Region,Farm,-2.86806394841836
2012,Auckland Region,Farm,-2.7814326554788984
2013,Auckland Region,Farm,-2.5996969999888258
2014,Auckland Region,Farm,-2.797458378441526
2015,Auckland Region,Farm,-2.2122216096068428
2016,Auckland Region,Farm,-2.6182232051884036
2017,Auckland Region,Farm,-2.393185928761202
2018,Auckland Region,Farm,-2.3540739034845295
2019,Auckland Region,Farm,-2.401660329320787
2020,Auckland Region,Farm,-2.560627526272512
2021,Auckland Region,Farm,-2.5271396756339577
2022,Auckland Region,Farm,-2.546706982713083
2023,Auckland Region,Farm,-2.8679703894058157
2024,Auckland Region,Farm,-3.1243867128175467
2001,Auckland Region,Healthcare,-0.513702941450088
2002,Auckland Region,Healthcare,-0.1401105226317796
2003,Auckland Region,Healthcare,-0.15135460116788835
2004,Auckland Region,Healthcare,-0.6021116730327911
2005,Auckland Region,Healthcare,-1.0032782681932524
2006,Auckland Region,Healthcare,-1.3686397447067478
2007,Auckland Region,Healthcare,-0.8154760278793916
2008,Auckland Region,Healthcare,-0.782782859210041
2009,Auckland Region,Healthcare,-0.8089337723507981
2010,Auckland Region,Healthcare,-0.6284676679068575
2011,Auckland Region,Healthcare,-0.8280324796844134
2012,Auckland Region,Healthcare,-0.18435984871462807
2013,Auckland Region,Healthcare,-1.2048190010612245
2014,Auckland Region,Healthcare,-1.1909638693537232
2015,Auckland Region,Healthcare,-0.9674240984863474
2016,Auckland Region,Healthcare,-0.9143183539493727
2017,Auckland Region,Healthcare,-0.3430894333706327
2018,Auckland Region,Healthcare,-0.719324035541657
2019,Auckland Region,Healthcare,-0.9151289793986095
2020,Auckland Region,Healthcare,-0.46324744967990483
2021,Auckland Region,Healthcare,-0.8362781190808413
2022,Auckland Region,Healthcare,-0.16472650003541744
2023,Auckland Region,Healthcare,0.5868828653034619
2024,Auckland Region,Healthcare,-0.03651560763855244
2001,Auckland Region,Industrial,-0.007673302461515874
2002,Auckland Region,Industrial,0.20547356246169102
2003,Auckland Region,Industrial,0.1222132147437236
2004,Auckland Region,Industrial,0.2212960331050411
2005,Auckland Region,Industrial,0.571424899444132
2006,Auckland Region,Industrial,0.6503074749954365
2007,Auckland Region,Industrial,0.5108459306628212
2008,Auckland Region,Industrial,0.3803332360988563
2009,Auckland Region,Industrial,0.5046406068370253
2010,Auckland Region,Industrial,-0.24264724283044004
2011,Auckland Region,Industrial,0.2091911524170733
2012,Auckland Region,Industrial,-0.20485608402472977
2013,Auckland Region,Industrial,0.03327226066701883
2014,Auckland Region,Industrial,0.018561933838704192
2015,Auckland Region,Industrial,-0.024636597431072715
2016,Auckland Region,Industrial,0.3589131256966347
2017,Auckland Region,Industrial,0.11111344272763546
2018,Auckland Region,Industrial,0.5776406318110645
2019,Auckland Region,Industrial,0.7824652373444501
2020,Auckland Region,Industrial,0.6657222064035118
2021,Auckland Region,Industrial,0.8476421070888946
2022,Auckland Region,Industrial,0.7994445854766994
2023,Auckland Region,Industrial,0.9174225562522018
2024,Auckland Region,Industrial,1.0326674850600916
2001,Auckland Region,Residential,2.200973275736281
2002,Auckland Region,Residential,2.268047465940974
2003,Auckland Region,Residential,2.569743393827622
2004,Auckland Region,Residential,2.611127766395949
2005,Auckland Region,Residential,2.7201122223051897
2006,Auckland Region,Residential,2.5000840434373366
2007,Auckland Region,Residential,2.3607064389565373
2008,Auckland Region,Residential,2.417287018509512
2009,Auckland Region,Residential,2.054336621792899
2010,Auckland Region,Residential,1.8733088567572231
2011,Auckland Region,Residential,1.8917751537016336
2012,Auckland Region,Residential,1.8566081703687303
2013,Auckland Region,Residential,2.0554324730758324
2014,Auckland Region,Residential,2.333360763010159
2015,Auckland Region,Residential,2.5661056861442653
2016,Auckland Region,Residential,2.727492245923269
2017,Auckland Region,Residential,2.9664348027228407
2018,Auckland Region,Residential,3.003202928830067
2019,Auckland Region,Residential,2.9778045669139246
2020,Auckland Region,Residential,3.132655860005496
2021,Auckland Region,Residential,3.0877877979863335
2022,Auckland Region,Residential,3.3058837721678955
2023,Auckland Region,Residential,3.3025552837482195
2024,Auckland Region,Residential,2.994015061832421
2001,Auckland Region,Sociocultural,-0.8733832280500415
2002,Auckland Region,Sociocultural,-0.8720257569792409
2003,Auckland Region,Sociocultural,-0.9638650107750308
2004,Auckland Region,Sociocultural,-0.5082353228295453
2005,Auckland Region,Sociocultural,-0.5484007422078676
2006,Auckland Region,Sociocultural,-0.4863424371383154
2007,Auckland Region,Sociocultural,-0.7904488537499361
2008,Auckland Region,Sociocultural,-0.7839098338195178
2009,Auckland Region,Sociocultural,-0.7360484646985412
2010,Auckland Region,Sociocultural,0.13189791268113638
2011,Auckland Region,Sociocultural,-0.3771360059046174
2012,Auckland Region,Sociocultural,-1.0408804906045326
2013,Auckland Region,Sociocultural,-1.080931003578776
2014,Auckland Region,Sociocultural,-0.8238212239407474
2015,Auckland Region,Sociocultural,-0.8836552423010744
2016,Auckland Region,Sociocultural,-0.9311744037201564
2017,Auckland Region,Sociocultural,-1.3105639909362417
2018,Auckland Region,Sociocultural,-0.26887045360767203
2019,Auckland Region,Sociocultural,0.01462334422381062
2020,Auckland Region,Sociocultural,-0.628756126854924
2021,Auckland Region,Sociocultural,-0.8983967937497468
2022,Auckland Region,Sociocultural,-1.2304390611191778
2023,Auckland Region,Sociocultural,-1.2252267450702448
2024,Auckland Region,Sociocultural,-1.6488031764020867
2001,Auckland Region,Temporary Accommodation,-2.177637445919565
2002,Auckland Region,Temporary Accommodation,-1.848748847361918
2003,Auckland Region,Temporary Accommodation,-1.3981919866651928
2004,Auckland Region,Temporary Accommodation,-0.6056890528403756
2005,Auckland Region,Temporary Accommodation,-0.38369407148468326
2006,Auckland Region,Temporary Accommodation,-0.8134684018508906
2007,Auckland Region,Temporary Accommodation,-0.9970004643256729
2008,Auckland Region,Temporary Accommodation,-1.7245885495123687
2009,Auckland Region,Temporary Accommodation,-1.1294189783032351
2010,Auckland Region,Temporary Accommodation,-0.4882326324606545
