Region,Building Type,Data Type,value
Auckland Region,Commercial,Number,903
Auckland Region,Commercial,Value,1222625293
Auckland Region,Education,Number,363
Auckland Region,Education,Value,334191305
Auckland Region,Farm,Number,143
Auckland Region,Farm,Value,26825353
Auckland Region,Healthcare,Number,100
Auckland Region,Healthcare,Value,538625957
Auckland Region,Industrial,Number,489
Auckland Region,Industrial,Value,972095049
Auckland Region,Residential,Number,18338
Auckland Region,Residential,Value,7844797844
Auckland Region,Sociocultural,Number,135
Auckland Region,Sociocultural,Value,188674642
Auckland Region,Temporary Accommodation,Number,50
Auckland Region,Temporary Accommodation,Value,220495424
Canterbury Region,Commercial,Number,353
Canterbury Region,Commercial,Value,271841853
Canterbury Region,Education,Number,158
Canterbury Region,Education,Value,217061414
Canterbury Region,Farm,Number,364
Canterbury Region,Farm,Value,49716641
Canterbury Region,Healthcare,Number,60
Canterbury Region,Healthcare,Value,113863350
Canterbury Region,Industrial,Number,316
Canterbury Region,Industrial,Value,493963750
Canterbury Region,Residential,Number,10271
Canterbury Region,Residential,Value,4913428240
Canterbury Region,Sociocultural,Number,79
Canterbury Region,Sociocultural,Value,411724404
Canterbury Region,Temporary Accommodation,Number,44
Canterbury Region,Temporary Accommodation,Value,38229894
Rest of North Island,Commercial,Number,590
Rest of North Island,Commercial,Value,377123374
Rest of North Island,Education,Number,427
Rest of North Island,Education,Value,243475371
Rest of North Island,Farm,Number,509
Rest of North Island,Farm,Value,65868407
Rest of North Island,Healthcare,Number,79
Rest of North Island,Healthcare,Value,184527860
Rest of North Island,Industrial,Number,291
Rest of North Island,Industrial,Value,445083023
Rest of North Island,Residential,Number,11745
Rest of North Island,Residential,Value,2789471743
Rest of North Island,Sociocultural,Number,222
Rest of North Island,Sociocultural,Value,157449962
Rest of North Island,Temporary Accommodation,Number,88
Rest of North Island,Temporary Accommodation,Value,56223820
Rest of South Island,Commercial,Number,329
Rest of South Island,Commercial,Value,247616650
Rest of South Island,Education,Number,195
Rest of South Island,Education,Value,92176510
Rest of South Island,Farm,Number,369
Rest of South Island,Farm,Value,49663441
Rest of South Island,Healthcare,Number,52
Rest of South Island,Healthcare,Value,275201658
Rest of South Island,Industrial,Number,273
Rest of South Island,Industrial,Value,220447658
Rest of South Island,Residential,Number,8331
Rest of South Island,Residential,Value,2125749921
Rest of South Island,Sociocultural,Number,86
Rest of South Island,Sociocultural,Value,112803495
Rest of South Island,Temporary Accommodation,Number,75
Rest of South Island,Temporary Accommodation,Value,89836137
Waikato Region,Commercial,Number,246
Waikato Region,Commercial,Value,117404504
Waikato Region,Education,Number,184
Waikato Region,Education,Value,75611172
Waikato Region,Farm,Number,299
Waikato Region,Farm,Value,54568845
Waikato Region,Healthcare,Number,47
Waikato Region,Healthcare,Value,102782500
Waikato Region,Industrial,Number,212
Waikato Region,Industrial,Value,247445923
Waikato Region,Residential,Number,5514
Waikato Region,Residential,Value,1541018471
Waikato Region,Sociocultural,Number,99
Waikato Region,Sociocultural,Value,40516998
Waikato Region,Temporary Accommodation,Number,24
Waikato Region,Temporary Accommodation,Value,23787000
Wellington Region,Commercial,Number,346
Wellington Region,Commercial,Value,476326908
Wellington Region,Education,Number,167
Wellington Region,Education,Value,115896653
Wellington Region,Farm,Number,79
Wellington Region,Farm,Value,9723655
Wellington Region,Healthcare,Number,29
Wellington Region,Healthcare,Value,67639441
Wellington Region,Industrial,Number,90
Wellington Region,Industrial,Value,130878300
Wellington Region,Residential,Number,4643
Wellington Region,Residential,Value,1075808639
Wellington Region,Sociocultural,Number,70
Wellington Region,Sociocultural,Value,111005260
Wellington Region,Temporary Accommodation,Number,19
Wellington Region,Temporary Accommodation,Value,12029000
